model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
A_Quantity_invention_apply,,ln_invention_apply,manufacturing_post2021,-0.019537492201103998,0.02461191686096306,0.42730796178380137,25831,5262,6,-0.02681764005836107,PanelOLS
A_Quantity_invention_apply,,ln_invention_apply,ln_assets,0.04765955437989358,0.02052683343013406,0.020252502684510176,25831,5262,6,-0.02681764005836107,PanelOLS
A_Quantity_invention_apply,,ln_invention_apply,roa,0.004929459606211369,0.07715785393933491,0.9490600425935927,25831,5262,6,-0.02681764005836107,PanelOLS
A_Quantity_invention_apply,,ln_invention_apply,cashflow_ratio,0.01888519631114904,0.09129046381849888,0.8361139648239735,25831,5262,6,-0.02681764005836107,PanelOLS
A_Quantity_invention_apply,,ln_invention_apply,firm_age,-0.06227325212229636,0.07633907542001378,0.4146551988212668,25831,5262,6,-0.02681764005836107,PanelOLS
A_Quantity_invention_grant,,ln_invention_grant,manufacturing_post2021,-0.009842229240702152,0.0229267558361207,0.6677166210821932,25831,5262,6,-0.0017420558890066662,PanelOLS
A_Quantity_invention_grant,,ln_invention_grant,ln_assets,0.06943619932383106,0.017322397635729986,6.133059995305779e-05,25831,5262,6,-0.0017420558890066662,PanelOLS
A_Quantity_invention_grant,,ln_invention_grant,roa,-0.0724278752249332,0.05860933438574572,0.21655680558634915,25831,5262,6,-0.0017420558890066662,PanelOLS
A_Quantity_invention_grant,,ln_invention_grant,cashflow_ratio,0.11864380649523604,0.07360166970643224,0.1069834542614796,25831,5262,6,-0.0017420558890066662,PanelOLS
A_Quantity_invention_grant,,ln_invention_grant,firm_age,-0.014179783761658286,0.0685194705320679,0.8360546117029573,25831,5262,6,-0.0017420558890066662,PanelOLS
A_Quantity_patent_apply_total,,ln_patent_apply_total,manufacturing_post2021,0.001826768546734369,0.03394974806365751,0.9570886466909962,25831,5262,6,-0.016126887252180255,PanelOLS
A_Quantity_patent_apply_total,,ln_patent_apply_total,ln_assets,0.06653545938421813,0.0292006794950724,0.02270352659070074,25831,5262,6,-0.016126887252180255,PanelOLS
A_Quantity_patent_apply_total,,ln_patent_apply_total,roa,0.008316769283763575,0.10198038257107302,0.9350032585683481,25831,5262,6,-0.016126887252180255,PanelOLS
A_Quantity_patent_apply_total,,ln_patent_apply_total,cashflow_ratio,0.00932518617128675,0.127262056110067,0.9415876291845027,25831,5262,6,-0.016126887252180255,PanelOLS
A_Quantity_patent_apply_total,,ln_patent_apply_total,firm_age,-0.06382789845658805,0.09789724735059836,0.5144157545951433,25831,5262,6,-0.016126887252180255,PanelOLS
A_Quantity_patent_grant_total,,ln_patent_grant_total,manufacturing_post2021,0.035481247434993805,0.03586461824764727,0.32252283642254453,25831,5262,6,-0.06260519582803736,PanelOLS
A_Quantity_patent_grant_total,,ln_patent_grant_total,ln_assets,0.10189266802289164,0.028169674529472846,0.00029862984844308826,25831,5262,6,-0.06260519582803736,PanelOLS
